epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3658.77,0.4505,0.46524,0.29483,0.8036,0.98254,0.97394,0.99036,0.84929,0.83745,0.83381,0.8218,0.55967,0.56451,0.59648,0.31439,0.78526,0.000415124,0.000415124,0.000415124
45,3742.93,0.44922,0.47363,0.29564,0.80349,0.97382,0.97672,0.98927,0.8345,0.84484,0.84653,0.81458,0.5429,0.59799,0.59119,0.32246,0.78265,0.000391546,0.000391546,0.000391546
46,3823.94,0.45966,0.48531,0.29991,0.80683,0.97981,0.97017,0.9908,0.84026,0.85729,0.84439,0.84285,0.55858,0.58887,0.6026,0.31401,0.78413,0.000367967,0.000367967,0.000367967
47,3906.99,0.45212,0.45979,0.29559,0.79846,0.98305,0.98042,0.99038,0.84914,0.8442,0.84786,0.82692,0.56707,0.56726,0.59432,0.30824,0.78169,0.000344389,0.000344389,0.000344389
48,3989.68,0.44642,0.44936,0.28896,0.80544,0.98595,0.97194,0.99076,0.85175,0.84978,0.85024,0.82867,0.55846,0.55568,0.60686,0.30457,0.77875,0.00032081,0.00032081,0.00032081
49,4073.41,0.43875,0.43885,0.28477,0.80087,0.98086,0.97306,0.98951,0.84278,0.83984,0.8453,0.82175,0.53817,0.57553,0.62129,0.30686,0.78059,0.000297232,0.000297232,0.000297232
50,4155.72,0.42967,0.43982,0.28279,0.80076,0.98755,0.97229,0.9902,0.84494,0.84829,0.85432,0.84159,0.54995,0.57154,0.63692,0.30284,0.78388,0.000273654,0.000273654,0.000273654
51,4243.81,0.42791,0.44414,0.27703,0.79185,0.96912,0.97821,0.98972,0.83731,0.82775,0.83674,0.81986,0.53483,0.61972,0.63965,0.31082,0.78435,0.000250075,0.000250075,0.000250075
52,4324.63,0.41843,0.45559,0.27239,0.79523,0.97699,0.96832,0.99015,0.8346,0.84057,0.83558,0.83037,0.54484,0.58791,0.65191,0.31191,0.78468,0.000226497,0.000226497,0.000226497
53,4405.28,0.41823,0.42931,0.26817,0.79134,0.97948,0.98042,0.99055,0.85052,0.84204,0.84653,0.83792,0.56607,0.56402,0.6049,0.30393,0.78284,0.000202918,0.000202918,0.000202918
54,4486.29,0.41384,0.45357,0.26676,0.79085,0.97913,0.96931,0.99068,0.84375,0.82389,0.82784,0.8273,0.54335,0.59419,0.62628,0.31114,0.78163,0.00017934,0.00017934,0.00017934
55,4568.37,0.40324,0.44519,0.25977,0.78942,0.9731,0.98166,0.99048,0.85097,0.84697,0.85779,0.84547,0.55951,0.56265,0.58374,0.29573,0.78058,0.000155761,0.000155761,0.000155761
56,4648.66,0.40427,0.43302,0.25983,0.78798,0.96226,0.97721,0.99007,0.84948,0.81877,0.83715,0.82414,0.5507,0.574,0.60384,0.30632,0.78336,0.000132183,0.000132183,0.000132183
57,4730.78,0.39959,0.4395,0.25338,0.79243,0.97607,0.97134,0.99135,0.84846,0.83265,0.84891,0.83282,0.55845,0.58791,0.60646,0.3015,0.7819,0.000108604,0.000108604,0.000108604
58,4811.54,0.39006,0.43295,0.25442,0.78792,0.97182,0.98166,0.9917,0.86367,0.83167,0.84576,0.82692,0.55785,0.54277,0.5871,0.29145,0.78315,8.50255e-05,8.50255e-05,8.50255e-05
59,4893.25,0.38043,0.43817,0.24511,0.78426,0.98217,0.97036,0.99123,0.85851,0.83758,0.83657,0.82163,0.55366,0.5553,0.59691,0.29287,0.78462,6.1447e-05,6.1447e-05,6.1447e-05
60,4972.04,0.38322,0.42038,0.24543,0.78763,0.97838,0.96931,0.99115,0.85721,0.82996,0.85136,0.82418,0.5506,0.55534,0.60728,0.28655,0.78426,3.78685e-05,3.78685e-05,3.78685e-05
